Condition,Policy,Guardrail,ASR advbench,ASR harmbench,ASR dual-use,Over-refusal,Helpfulness,Guardrail FPR
C1,Starting,none,"0.548 [0.506, 0.590]","0.675 [0.610, 0.740]","0.740 [0.650, 0.820]","0.024 [0.008, 0.044]","4.915 [4.850, 4.965]",--
C2,Starting,input,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.190 [0.110, 0.270]","0.024 [0.008, 0.044]","4.915 [4.850, 4.965]","0.336 [0.276, 0.396]"
C3,Starting,output,"0.100 [0.075, 0.127]","0.130 [0.085, 0.180]","0.330 [0.240, 0.420]","0.024 [0.008, 0.044]","4.915 [4.850, 4.965]","0.028 [0.008, 0.052]"
C4,Starting,input+output,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.130 [0.070, 0.200]","0.024 [0.008, 0.044]","4.915 [4.850, 4.965]","0.336 [0.276, 0.396]"
C5,SFT,none,"0.010 [0.002, 0.019]","0.035 [0.010, 0.060]","0.100 [0.050, 0.160]","0.036 [0.016, 0.060]","4.910 [4.830, 4.980]",--
C6,SFT,input,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.030 [0.000, 0.070]","0.036 [0.016, 0.060]","4.910 [4.830, 4.980]","0.332 [0.276, 0.392]"
C7,SFT,output,"0.002 [0.000, 0.006]","0.015 [0.000, 0.035]","0.080 [0.030, 0.140]","0.036 [0.016, 0.060]","4.910 [4.830, 4.980]","0.012 [0.000, 0.028]"
C8,SFT,input+output,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.030 [0.000, 0.070]","0.036 [0.016, 0.060]","4.910 [4.830, 4.980]","0.336 [0.280, 0.396]"
C9,Stressed,none,"0.938 [0.917, 0.958]","0.940 [0.905, 0.970]","0.940 [0.890, 0.980]","0.000 [0.000, 0.000]","4.920 [4.849, 4.980]",--
C10,Stressed,input+output,"0.000 [0.000, 0.000]","0.000 [0.000, 0.000]","0.240 [0.160, 0.330]","0.000 [0.000, 0.000]","4.920 [4.849, 4.980]","0.324 [0.268, 0.384]"
